sampletype;samplename;compiler;function;LOC;ABC;A;B;C;Cyclomatic_Complexity;Halstead_Volume;Halstead_Level;Halstead_Difficulty;Halstead_Effort;Halstead_Time;MIwoc;Single_MI;Myers_Interval;Information_Flow
compiled;automorphic_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;71;24.779023386727733;11;18;13;27;10925.385859985858;0.057235125;71;190886.03060864072;10604.779478257818;47.380595432604665;3.405681694506427;13;0
compiled;averagesum-softwaremetrics;prog_clang-oslatest-O0;all.csv;125;39.331920878594275;19;31;15;42;33375.03674396136;0.030625831479476635;162.5;1089767.5306000118;60542.640588889546;28.960387273150758;-14.01474957;15;0
compiled;averagesum_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;binary2decimal-softwaremetrics;prog_clang-oslatest-O0;all.csv;142;40.45985664828782;18;32;17;42;42008.87802501605;0.027249699562644728;188;1541627.1995381538;85645.95552989743;25.698293133186596;-17.4834904;17;0
compiled;binary2decimal_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;binary2octal-softwaremetrics;prog_clang-oslatest-O0;all.csv;156;45.232731511594565;23;34;19;44;45670.08143273368;0.024787382780978397;206;1842472.9160103367;102359.60644501871;23.280499498479074;-19.26619203;19;0
compiled;binary2octal_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;bkdrhash-softwaremetrics;prog_clang-oslatest-O0;all.csv;126;38.40572873934304;15;31;17;40;34091.75092866035;0.029616536650669538;169;1151105.2534864722;63950.29186035957;29.180817333451444;-14.56233129;17;0
compiled;bkdrhash_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;207;64.41273166075166;22;52;31;75;81098.22013;0.019478990891654304;286.5;4163368.655830103;231298.25865722794;8.582190824470231;-27.41835078;31;0
compiled;bkdrhash_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;79;24.779023386727733;11;18;13;27;14380.031407896624;0.049876714;87;288311.5264084226;16017.307022690145;44.22224655;-0.717968634;13;0
compiled;bkdrhash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;bogosort-softwaremetrics;prog_clang-oslatest-O0;all.csv;223;66.67083320313314;30;52;29;68;82088.0343;0.017414735;314.5;4713711.432046277;261872.8573359043;8.922970097578698;-28.65986146;29;0
compiled;bogosort_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;78;25.729360660537214;13;18;13;31;11748.844710491072;0.054189096;74;216811.9705106271;12045.109472812617;44.55946400804858;2.132142384442247;13;0
compiled;bphash-softwaremetrics;prog_clang-oslatest-O0;all.csv;125;38.40572873934304;15;31;17;40;33430.488518406164;0.030202358254748717;165;1106883.3842850628;61493.52134917016;29.41175477479969;-14.17058862;17;0
compiled;bphash_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;206;64.41273166075166;22;52;31;75;79093.63847933424;0.019634307606073154;282.5;4028338.562591814;223796.58681065633;8.790789886530732;-27.08864582;31;0
compiled;bphash_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;79;24.779023386727733;11;18;13;27;14380.031407896624;0.049876714;87;288311.5264084226;16017.307022690145;44.22224655;-0.717968634;13;0
compiled;bphash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;bubblesort-softwaremetrics;prog_clang-oslatest-O0;all.csv;195;58.56620185738529;26;45;27;58;66198.32833219702;0.019283357016653364;278.5;3432925.515771308;190718.0842095171;14.515272604168118;-25.48923376;27;0
compiled;bubblesort_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;298;94.29209935090002;31;73;51;100;143984.6912289952;0.013590629800510312;434.5;10594409.040822282;588578.2800456823;-6.055718244;-36.75836971;51;0
compiled;bubblesort_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;77;24.779023386727733;11;18;13;27;13474.781190085338;0.051504224;83;261624.7765661438;14534.709809230211;44.975761347319946;0.25333394275403975;13;0
compiled;bubblesort_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;71;24.779023386727733;11;18;13;27;10925.385859985858;0.057235125;71;190886.03060864072;10604.779478257818;47.380595432604665;3.405681694506427;13;0
compiled;bucketsort-softwaremetrics;prog_clang-oslatest-O0;all.csv;410;109.84079387914127;34;90;53;118;210805.46572933506;0.009151587;659;23034852.24979121;1279714.0138772894;-17.34693931;-44.52518942;53;0
compiled;bucketsort_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;83;26.795522013948524;15;18;13;35;11746.072121768833;0.053236164;73;220640.8413486682;12257.824519370457;42.63415643757604;1.9570849376101478;13;0
compiled;celcius2fahrenheit-softwaremetrics;prog_clang-oslatest-O0;all.csv;113;35.14256678161116;13;29;15;38;27785.497879925966;0.034554616;140;804103.7933714298;44672.43296507943;32.46851591308638;-10.97483636;15;0
compiled;celcius2fahrenheit_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;celcius2kelvin-softwaremetrics;prog_clang-oslatest-O0;all.csv;109;34.785054261852174;12;29;15;38;26144.818503540573;0.035430007322116826;136;737928.6790951334;40996.03772750741;33.36885152355383;-10.11602458;15;0
compiled;celcius2kelvin_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;changingbase-softwaremetrics;prog_clang-oslatest-O0;all.csv;220;54.82700065;23;46;19;67;90265.78473559943;0.01730723;327;5215495.746100687;289749.7636722604;8.878562191791218;-29.67144703;19;0
compiled;changingbase_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;circumferencecircle-softwaremetrics;prog_clang-oslatest-O0;all.csv;112;34.785054261852174;12;29;15;38;27843.72224;0.034925873164056674;139;797223.3682549091;44290.18712527273;32.60163168980682;-10.8889018;15;0
compiled;circumferencecircle_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;countingsort-softwaremetrics;prog_clang-oslatest-O0;all.csv;275;74.70609078247904;36;54;37;68;126962.38276880406;0.013397713227828264;438.5;9476421.879600445;526467.8822000247;3.2597483787506434;-35.64317364;37;0
compiled;countingsort_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;72;24.779023386727733;11;18;13;27;11332.956402155107;0.056177687;73;201734.12339547038;11207.451299748354;46.96356354207249;2.852941114106187;13;0
compiled;crc32hash-softwaremetrics;prog_clang-oslatest-O0;all.csv;144;44.24929377967517;21;34;19;43;42275.04654235106;0.026340526;195.5;1604943.134;89163.50743816889;25.208872718382835;-17.88598883;19;0
compiled;crc32hash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;cryptxor-softwaremetrics;prog_clang-oslatest-O0;all.csv;162;45.727453460694704;19;37;19;50;50253.17059059603;0.022594145;231.5;2224167.822148104;123564.87900822802;20.791828983877664;-21.14893391;19;0
compiled;cryptxor_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;decimal2hex-softwaremetrics;prog_clang-oslatest-O0;all.csv;205;57.227615711297986;25;45;25;57;87552.80667088782;0.018302341375472347;313;4783694.330399749;265760.7961333194;12.481251883333485;-28.80723678;25;0
compiled;decimal2hex_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;72;24.779023386727733;11;18;13;27;11332.956402155107;0.056177687;73;201734.12339547038;11207.451299748354;46.96356354207249;2.852941114106187;13;0
compiled;dekhash-softwaremetrics;prog_clang-oslatest-O0;all.csv;129;39.230090491866065;17;31;17;40;35080.87195531939;0.029136626143265298;172;1204012.8387832595;66889.60215462552;28.65090027700559;-15.01170568;17;0
compiled;dekhash_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;210;65.12296062065974;24;52;31;75;81487.07569380772;0.019221714;289.5;4239324.213899399;235518.01188329994;8.324219530086737;-27.59914431;31;0
compiled;dekhash_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;79;24.779023386727733;11;18;13;27;14380.031407896624;0.049876714;87;288311.5264084226;16017.307022690145;44.22224655;-0.717968634;13;0
compiled;dekhash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;dgaramdo-softwaremetrics;prog_clang-oslatest-O0;all.csv;667;172.07556479639985;65;136;83;183;501394.9445;0.00634653;1036.5;79003010.17890841;4389056.121050467;-44.68597553;-56.84996513;83;0
compiled;dgaramdo_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;114;31.96873472629156;23;18;13;51;16618.896801105246;0.042457635;91;391423.0474068779;21745.72485593766;32.00844755625204;-3.775442167;13;0
compiled;diagonaladdition-softwaremetrics;prog_clang-oslatest-O0;all.csv;206;56.302753041036986;32;39;25;49;81119.01454;0.017948098;312;4519644.173779059;251091.3429877255;14.639308178555623;-28.23943826;25;0
compiled;diagonaladdition_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;djbhash-softwaremetrics;prog_clang-oslatest-O0;all.csv;126;38.80721582386451;16;31;17;40;34190.87097548042;0.029895063266300398;167.5;1143696.224052569;63538.679114031605;29.165720531626235;-14.49775877;17;0
