sampletype;samplename;compiler;function;LOC;ABC;A;B;C;Cyclomatic_Complexity;Halstead_Volume;Halstead_Level;Halstead_Difficulty;Halstead_Effort;Halstead_Time;MIwoc;Single_MI;Myers_Interval;Information_Flow
compiled;bubblesort_file_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;932;710.3133111521985;668;161;180;162;1765562.3176125146;0.002263978;2658;779849654.1220642;43324980.78455912;-51.82148651;-79.74611708;180;0
compiled;bubblesort_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;71;24.779023386727733;11;18;13;27;10925.385859985858;0.057235125;71;190886.03060864072;10604.779478257818;47.380595432604665;3.405681694506427;13;0
compiled;bubblesort_marked.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2282;1553.130065384094;1408;457;470;458;8312229.307041031;0.001072112;6295;7753134942.790217;430729719.04390097;-142.4643217;-102.7136311;470;0
compiled;bubblesort_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;bubblesort_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;30;19.82422760159901;19;4;4;5;8356.582409;0.039460887;92;211768.74259967776;11764.930144426542;67.79041735;2.3674987853530496;4;0
compiled;bucketsort-softwaremetrics;prog_clang-oslatest-O0;all.csv;410;109.84079387914127;34;90;53;118;210805.46572933506;0.009151587;659;23034852.24979121;1279714.0138772894;-17.34693931;-44.52518942;53;0
compiled;bucketsort_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;83;26.795522013948524;15;18;13;35;11746.072121768833;0.053236164;73;220640.8413486682;12257.824519370457;42.63415643757604;1.9570849376101478;13;0
compiled;bucketsort_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;4034;2989.187515028122;2705;856;941;857;24765595.629956756;0.000660561;11110;37491783592.41769;2082876866.2454271;-249.1405453;-118.4738764;941;0
compiled;celcius2fahrenheit-softwaremetrics;prog_clang-oslatest-O0;all.csv;113;35.14256678161116;13;29;15;38;27785.497879925966;0.034554616;140;804103.7933714298;44672.43296507943;32.46851591308638;-10.97483636;15;0
compiled;celcius2fahrenheit.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2287;1561.5854123294057;1416;458;473;459;8238645.495499968;0.001065267;6328;7733875814.611574;429659767.4784208;-142.6835402;-102.6887597;473;0
compiled;celcius2fahrenheit.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;53;12.24744871391589;5;11;2;18;8120.912367;0.057286046;74.5;141760.74145712718;7875.596747618177;55.729842506152636;6.3810400380564545;2;0
compiled;celcius2fahrenheit_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;celcius2fahrenheit_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;celcius2kelvin-softwaremetrics;prog_clang-oslatest-O0;all.csv;109;34.785054261852174;12;29;15;38;26144.818503540573;0.035430007322116826;136;737928.6790951334;40996.03772750741;33.36885152355383;-10.11602458;15;0
compiled;celcius2kelvin.bc-softwaremetrics;prog_clang-oslatest-O0;all.csv;23;19;19;0;0;1;5825.902053;0.052404546;68;111171.69211522187;6176.205117512326;74.89063425;8.811689389182945;0;0
compiled;celcius2kelvin.i-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;6.4031242374328485;6;1;2;2;1555.4222731765171;0.081019807;33;19198.049681971745;1066.5583156650969;92.06710007;26.37436026207601;2;0
